Community Name,"Holds degree or higher, %","Equivalent household income <$600/week, %",,,Locality,2013
Abbotsford (Suburb),71.50300601,24.585126,,,ABBOTSFORD,792500
Aberfeldie (Suburb),57.65943458,23.12390925,,,ABERFELDIE,947500
Aireys Inlet - Fairhaven (Catchment),46.79487179,31.63265306,,,AINTREE,-
Aireys Inlet - Fairhaven (Town),49.79674797,42.15384615,,,AIREYS INLET,664000
Airport West (Catchment),32.0610687,42.16027875,,,AIRPORT WEST,532000
Airport West (Suburb),36.41791045,40.63981043,,,ALBANVALE,313000
Albanvale (Suburb),32.14581607,52.9972752,,,ALBERT PARK,1360000
Albert Park (Suburb),73.47540984,22.31040564,,,ALBION,379000
Albion (Suburb),41.95286195,54.97981157,,,ALEXANDRA,261000
Alexandra (Catchment),31.78233438,51.64744646,,,ALFREDTON,361500
Alexandra (Town),30.48192771,49.42263279,,,ALLANSFORD,310000
Alfredton (Catchment),26.11894543,36.62060302,,,ALPHINGTON,1080000
Alfredton (Suburb),42.05069124,33.50348028,,,ALTONA,572500
Allansford (Town),19.62616822,39.6039604,,,ALTONA EAST,561500
Alphington (Suburb),73.38850174,25.75272261,,,ALTONA MEADOWS,390000
Altona (Catchment),41.66666667,34.23019432,,,ALTONA NORTH,510000
Altona Meadows (Suburb),37.03948455,38.89636608,,,ANGLESEA,550000
Altona North (Catchment),40.52631579,43.56435644,,,APOLLO BAY,450000
Altona North (Suburb),39.48772679,53.02521008,,,ARARAT,180000
Altona (Suburb),43.13521931,38.7510008,,,ARDEER,330000
Apollo Bay (Catchment),38.15384615,50.50301811,,,ARMADALE,1675000
Apollo Bay (Town),33.93316195,53.09278351,,,ARMSTRONG CREEK,467500
Ararat (Catchment),30.43801039,51.03645461,,,ASCOT (GREATER BENDIGO),349500
Ararat (Town),24.5578575,52.56309148,,,ASCOT VALE,735000
Arcadia Downs (Town),46.21848739,17.10526316,,,ASHBURTON,1000000
Ardeer (Suburb),33.51206434,51.80995475,,,ASHWOOD,775000
Armadale (Suburb),72.89759421,21.53846154,,,ASPENDALE,620000
Arthurs Seat (Town),53.125,27.35042735,,,ASPENDALE GARDENS,586500
Ascot (Suburb),35.08064516,29.66507177,,,ATTWOOD,540000
Ascot Vale (Suburb),62.6125361,33.78264532,,,AVENEL,231000
Ashburton (Suburb),66.81402888,29.33848797,,,AVOCA,182500
Ashwood (Suburb),58.68740516,36.76470588,,,AVONDALE HEIGHTS,532500
Aspendale Gardens (Catchment),59.89010989,16.42651297,,,AVONSLEIGH,420000
Aspendale Gardens (Suburb),39.958159,29.05888828,,,AXEDALE,240000
Aspendale (Suburb),47.06094483,27.56349953,,,BACCHUS MARSH,335500
Attwood (Suburb),31.99617956,26.62921348,,,BADGER CREEK,315000
Avenel (Town),24,43.82022472,,,BAIRNSDALE,235000
Avoca (Town),23.43096234,70.08310249,,,BALACLAVA,860500
Avondale Heights (Suburb),44.60093897,44.33333333,,,BALCOMBE,710000
